Date,Open,High,Low,Close,Volume,MarketCap
Jan-01-2021,0.181655695,0.184897986,0.171928815,0.17549909,904440238.2,5660995691
Jan-02-2021,0.175492283,0.183605147,0.169995589,0.176839607,966288556.5,5544038522
Jan-03-2021,0.176670349,0.208695509,0.174267706,0.205023248,1546312967,5888744852
Jan-04-2021,0.205072845,0.240448121,0.198548774,0.223507625,3062963458,6786335505
Jan-05-2021,0.226666198,0.264739292,0.209308342,0.259621695,3160729503,7396261465
Jan-06-2021,0.258997516,0.343986444,0.255287903,0.328384498,4805512040,9149348682
Jan-07-2021,0.333777183,0.349211945,0.283844813,0.298531614,5708262461,10177897326
Jan-08-2021,0.299112651,0.321078714,0.268734022,0.306193686,4283345045,9369124047
Jan-09-2021,0.305109072,0.338843077,0.297868371,0.333857125,3338443997,9950075457
Jan-10-2021,0.332090738,0.341171238,0.2854708,0.305478714,2909922704,10073529743
Jan-11-2021,0.303479126,0.303479126,0.23415449,0.277317317,3408571754,8486039626
Jan-12-2021,0.277032832,0.310639973,0.264613,0.287310966,3832834827,9042377124
Jan-13-2021,0.288886955,0.313753389,0.272154371,0.312887099,2705904560,9180086354
Jan-14-2021,0.31292564,0.323825335,0.299992788,0.310976628,2140325957,9804213916
Jan-15-2021,0.310596816,0.329584043,0.280308146,0.301958474,2424964602,9785922381
Jan-16-2021,0.302838959,0.3639936,0.302507168,0.353494405,3054660158,10488441729
Jan-17-2021,0.351703513,0.395584301,0.343648104,0.380085542,5050169476,11737646831
Jan-18-2021,0.381493121,0.396871576,0.365637831,0.370792717,3816677538,11806002903
Jan-19-2021,0.371165555,0.383685291,0.36381791,0.371733052,2350701218,11729209318
Jan-20-2021,0.369632987,0.376367394,0.332383331,0.376367394,2395654382,11247213937
Jan-21-2021,0.375794957,0.378046926,0.300979603,0.31094169,2532585566,10929608135
Jan-22-2021,0.309278414,0.359205821,0.282165608,0.350601683,3624158517,10478131165
Jan-23-2021,0.350324791,0.357728701,0.337220882,0.345390444,2484617555,10952829496
Jan-24-2021,0.345751789,0.369120148,0.340412523,0.354175281,1928408178,11079989299
Jan-25-2021,0.353760168,0.363256023,0.34205838,0.344211268,1913902284,11180241335
Jan-26-2021,0.344162384,0.350406699,0.327447096,0.344440765,1807521862,10740909873
Jan-27-2021,0.344222621,0.344222621,0.305370365,0.312697937,1685326391,10198972123
Jan-28-2021,0.313343912,0.353552642,0.307383446,0.345810913,2184945767,10535341852
Jan-29-2021,0.344875028,0.366880222,0.333605623,0.348897317,2551364467,11082323231
Jan-30-2021,0.347677286,0.37370634,0.337399424,0.362755038,2122323282,11010910173
Jan-31-2021,0.363138384,0.375969104,0.338765184,0.346010448,2230495804,11102532528
Feb-01-2021,0.345494567,0.418426622,0.334614942,0.402698417,1944434051,11189673515
Feb-02-2021,0.40498707,0.450625507,0.390195195,0.425869661,5596351087,13234434305
Feb-03-2021,0.424747769,0.446260001,0.416483383,0.441231214,3976877943,13536431510
Feb-04-2021,0.441021303,0.446010456,0.417428754,0.441578652,2519094805,13587415899
Feb-05-2021,0.43908755,0.556251053,0.437949256,0.534501503,4470050313,15711120269
Feb-06-2021,0.537731047,0.656072157,0.524370113,0.621895971,6138381788,17704684953
Feb-07-2021,0.628770656,0.702910348,0.58514377,0.659104379,9382566106,20298124734
Feb-08-2021,0.66382059,0.711368867,0.634070277,0.68807965,8544872723,21240480940
Feb-09-2021,0.678191485,0.705301907,0.671429541,0.701340133,6295159626,21585356419
Feb-10-2021,0.702389959,0.947477003,0.702389959,0.923462259,8042070329,25218181240
Feb-11-2021,0.937209823,0.974591532,0.872177298,0.916993734,10144918437,28939147535
Feb-12-2021,0.921555615,0.937019377,0.873215748,0.91603375,7156870069,28551841874
Feb-13-2021,0.914821781,0.937932245,0.822951341,0.894093503,5357839148,28189525864
Feb-14-2021,0.899496349,0.907552683,0.793095379,0.844159012,5468617649,26877967594
Feb-15-2021,0.842793461,0.901009117,0.72138809,0.854407593,7067312839,26118035972
Feb-16-2021,0.856783627,0.897395344,0.821961885,0.866806902,6178373095,27358190870
Feb-17-2021,0.865319359,0.89009027,0.799880936,0.884208673,4827859634,26799565530
Feb-18-2021,0.885791422,0.94752387,0.885791422,0.906509207,4864290124,28835027723
Feb-19-2021,0.907240159,0.938428503,0.880690484,0.926306599,4827069493,28819070402
Feb-20-2021,0.924792033,1.201425126,0.914860838,1.127445429,8053071550,33870443524
Feb-21-2021,1.122262497,1.14962391,1.070396873,1.090948884,9432683604,34904865199
Feb-22-2021,1.090032311,1.14348173,0.85852984,1.098145495,7489817246,32395649154
Feb-23-2021,1.096725336,1.12734702,0.846645164,0.942305795,11392097879,30514652357
Feb-24-2021,0.957931293,1.072012176,0.901024729,1.051808033,9171640632,31976379440
Feb-25-2021,1.051586351,1.172315979,1.018295028,1.086587906,6845595869,33837804286
Feb-26-2021,1.077390919,1.292021372,1.005281258,1.236134802,11360614631,35447344285
Feb-27-2021,1.239810083,1.467159339,1.237889063,1.331702061,20946969204,42697334551
Feb-28-2021,1.321600604,1.358835596,1.17251303,1.305089557,18975253944,39488043508
Mar-01-2021,1.313494922,1.342552614,1.238887103,1.293643236,13533911817,40309113008
Mar-02-2021,1.296564506,1.296853764,1.189933051,1.224045537,9483786239,38560504174
Mar-03-2021,1.226276647,1.263589554,1.215673184,1.2207851,6708238230,38941525819
Mar-04-2021,1.218164557,1.230384876,1.072047857,1.114540175,5789152310,36705238197
Mar-05-2021,1.114678702,1.196750681,1.042764594,1.167807091,8646746938,35472612718
Mar-06-2021,1.163313798,1.180680739,1.089665505,1.135808292,6073389545,35506587086
Mar-07-2021,1.133966988,1.145957393,1.11284933,1.137128882,4815066993,35571720040
Mar-08-2021,1.13252272,1.176386483,1.108582936,1.120103768,4180176648,35555552287
Mar-09-2021,1.119428063,1.216838124,1.11613511,1.194422803,4341081510,36505861825
Mar-10-2021,1.198157297,1.203793404,1.123935528,1.136395421,5055492051,36645138043
Mar-11-2021,1.134025125,1.138654292,1.111201657,1.127206285,3850012418,35389225997
Mar-12-2021,1.126005286,1.128260661,1.033201395,1.036860964,3863458159,34000980555
Mar-13-2021,1.033837171,1.184265747,0.995609171,1.105699479,5823760041,34326285903
